MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
FEBRERO,26,2,0.02,0.006,0.017,0.49,56,41,17.12,2.78,97.03,78.84,620.71
FEBRERO,26,3,0.017,0.006,0.02,0.49,59,36,16.32,2.19,90.6,81.65,620.48
FEBRERO,26,4,0.014,0.006,0.021,0.51,58,41,15.51,1.76,83.56,83.66,620.24
FEBRERO,26,5,0.009,0.006,0.025,0.54,55,36,14.8,1.2,19.22,85.5,620.26
FEBRERO,26,6,0.006,0.006,0.024,0.59,53,38,13.95,1.57,126.02,82.88,620.51
FEBRERO,26,7,0.001,0.006,0.028,0.62,59,37,12.82,1.64,128.38,82.82,620.74
FEBRERO,26,8,0.002,0.006,0.025,0.68,67,38,12.97,0.99,92.06,72.51,621.15
FEBRERO,26,9,0.014,0.006,0.021,0.72,57,35,16.6,1.04,128.87,63.67,621.23
FEBRERO,26,10,0.025,0.006,0.017,0.64,63,35,18.89,1.39,154.49,56.46,621.41
FEBRERO,26,11,0.041,0.006,0.019,0.64,92,34,21.76,1.89,284.98,56.05,621.21
FEBRERO,26,12,0.053,0.007,0.017,0.57,338,41,23.41,2.38,283.34,53.12,621.08
FEBRERO,26,13,0.061,0.007,0.014,0.52,102,43,25.64,2.06,255.55,45.92,620.56
FEBRERO,26,14,0.061,0.006,0.012,0.51,69,39,26.93,2.65,277.33,38.83,619.82
FEBRERO,26,15,0.054,0.006,0.011,0.49,60,31,28.43,2.22,339.42,29.59,619.13
FEBRERO,26,16,0.044,0.006,0.011,0.52,47,29,29.54,3.22,202.12,24.03,618.55
FEBRERO,26,17,0.041,0.005,0.01,0.5,57,28,28.73,4.28,242.84,26.45,617.91
FEBRERO,26,18,0.05,0.006,0.011,0.55,67,29,28.4,3.74,295.27,29.94,617.86
FEBRERO,26,19,0.046,0.006,0.013,0.62,35,31,26.72,3.68,292.5,33.7,617.68
FEBRERO,26,20,0.022,0.006,0.025,0.86,200,32,24.86,2.53,266.48,36.16,617.84
FEBRERO,26,21,0.016,0.006,0.03,0.96,124,35,23.47,2.76,259.87,38.59,618.22
FEBRERO,26,22,0.02,0.006,0.024,0.71,108,38,23.19,3.25,276.72,38.26,618.7
FEBRERO,26,23,0.017,0.006,0.023,0.58,99,33,21.49,2.9,276.29,41.41,618.94
FEBRERO,27,0,0.014,0.006,0.02,0.6,68,32,20.08,1.73,301.89,43.06,618.78
FEBRERO,27,1,0.007,0.005,0.027,0.68,90,32,18.96,0.96,315.34,45.75,618.68
FEBRERO,27,2,0.002,0.006,0.028,0.77,70,40,17.87,0.87,348.58,48.13,618.81
FEBRERO,27,3,0.002,0.006,0.029,0.7,72,34,17.12,0.76,350.58,49.71,618.65
FEBRERO,27,4,0.001,0.006,0.027,0.76,58,33,15.8,1.07,148.63,55.43,618.61
FEBRERO,27,5,0,0.006,0.029,0.75,78,38,14.32,1.14,104.82,57.81,618.65
FEBRERO,27,6,0,0.006,0.026,0.9,89,42,14.06,1.14,109.46,57.85,618.96
FEBRERO,27,7,0,0.006,0.026,0.98,81,45,13.48,1.25,98.97,57.13,619.34
FEBRERO,27,8,0.001,0.006,0.027,1.16,69,39,13.57,1.85,83,56.68,619.72
FEBRERO,27,9,0.004,0.006,0.029,1.23,83,38,16.11,1.54,77.09,50.69,619.93
FEBRERO,27,10,0.011,0.006,0.027,0.92,102,43,19.94,1.21,151.26,44.63,620.22
FEBRERO,27,11,0.028,0.006,0.022,0.76,103,39,23.54,1.29,281.9,37.64,620.38
FEBRERO,27,12,0.046,0.006,0.021,0.74,78,35,26.02,1.93,351.17,31.42,620.23
FEBRERO,27,13,0.058,0.006,0.015,0.54,65,30,27.49,1.89,326.42,27.74,619.61
FEBRERO,27,14,0.052,0.006,0.015,0.54,70,35,29.11,2.48,308.97,22.74,619.25
FEBRERO,27,15,0.043,0.006,0.013,0.59,60,28,29.31,3.72,301.43,21.14,618.69
FEBRERO,27,16,0.049,0.007,0.012,0.58,47,27,29.53,4.02,298.22,20.77,618.23
FEBRERO,27,17,0.042,0.006,0.011,0.54,50,29,29.49,4,287.07,20.12,617.92
FEBRERO,27,18,0.042,0.005,0.012,0.63,43,27,29.29,3.45,299.27,21.27,617.89
FEBRERO,27,19,0.033,0.006,0.02,0.8,49,27,27.76,3.04,300.94,24.2,617.59
FEBRERO,27,20,0.011,0.006,0.04,1.34,61,26,25.64,1.54,296.35,28.97,617.47
FEBRERO,27,21,0.001,0.006,0.045,1.86,87,33,23.34,1.27,254.44,34.18,618.06
FEBRERO,27,22,0.003,0.006,0.043,1.88,205,57,22.12,1.21,293.38,36.54,618.27
FEBRERO,27,23,0.003,0.006,0.042,1.91,122,43,20.78,1.06,87.11,40.01,618.46
FEBRERO,28,0,0.001,0.006,0.04,1,146,49,19.73,1.99,107.55,40.23,618.78
FEBRERO,28,1,0,0.006,0.04,0.78,99,44,18.97,1,161.8,41.15,619.15
FEBRERO,28,2,0.001,0.005,0.036,0.78,89,41,17.9,0.79,8.13,44.49,619.03
FEBRERO,28,3,0.001,0.006,0.038,0.8,108,38,17.23,1.08,82.3,45.09,618.7
FEBRERO,28,4,0.001,0.006,0.034,0.75,92,45,16.12,0.55,186.56,48.8,618.3
FEBRERO,28,5,0,0.006,0.032,0.76,89,49,15.44,0.79,73.01,51.3,618.15
FEBRERO,28,6,0,0.006,0.033,0.74,82,44,14.56,1.49,99.08,52.64,618.4
FEBRERO,28,7,0,0.006,0.033,1.01,74,39,14.12,1.02,103.22,53.24,618.91
FEBRERO,28,8,0,0.006,0.034,1.79,78,42,14.24,1.23,113.56,53.29,619.24
FEBRERO,28,9,0.003,0.006,0.036,1.58,145,57,17.46,1.27,93.26,45.38,619.27
FEBRERO,28,10,0.011,0.006,0.035,0.95,126,46,20.34,1.45,85.74,41.47,619.62
FEBRERO,28,11,0.032,0.006,0.025,0.73,99,40,24.01,0.99,252.66,36.83,619.84
FEBRERO,28,12,0.048,0.006,0.021,0.65,68,32,26.74,1.34,313.31,31.36,619.79
FEBRERO,28,13,0.069,0.006,0.024,0.72,60,27,28.16,1.82,305.06,29.92,619.27
FEBRERO,28,14,0.073,0.006,0.023,0.7,102,42,30.27,2.15,357.44,25.17,618.68
FEBRERO,28,15,0.076,0.006,0.017,0.63,100,38,30.8,2.88,293.81,23.39,617.84
FEBRERO,28,16,0.069,0.005,0.014,0.6,98,34,31.24,2.97,293.24,23.14,617.37
FEBRERO,28,17,0.063,0.005,0.014,0.62,75,31,31.16,3.26,309.11,22.06,616.87
FEBRERO,28,18,0.055,0.005,0.015,0.64,71,32,30.63,3.66,282.3,21.64,616.85
FEBRERO,28,19,0.044,0.005,0.019,0.79,451,37,28.91,2.69,248.7,26.58,616.65
FEBRERO,28,20,0.035,0.005,0.019,0.73,149,34,26.5,1.84,224.03,31.94,616.89
FEBRERO,28,21,0.035,0.005,0.018,0.67,76,29,25.28,1.49,220,35.15,617.65
FEBRERO,28,22,0.037,0.005,0.014,0.57,63,29,24.38,1.67,210.29,38.71,618.25
FEBRERO,28,23,0.033,0.005,0.016,0.58,53,31,23.59,2.22,190.99,39.71,618.59
